Country,Year,Life_Expectancy,GDP,Region,Population,LogGDP,Predicted
India,1960,45.61,84,South Asia,435990338,1.929075485,48.62962063
India,1963,46.458,103,South Asia,468138575,2.014667608,49.68349932
India,1966,45.884,91,South Asia,500740247,1.959173546,49.00021204
India,1969,48.26,109,South Asia,533880544,2.039325524,49.98710731
India,1972,49.213,125,South Asia,570482142,2.097849525,50.70770163
India,1975,50.761,161,South Asia,611309535,2.207059669,52.05238429
India,1978,52.42,209,South Asia,655728229,2.320953995,53.45474235
India,1981,54.173,274,South Asia,703696250,2.439276359,54.91162195
India,1984,55.813,281,South Asia,754875449,2.448783385,55.02868006
India,1987,57.291,344,South Asia,808931270,2.537744854,56.12404484
India,1990,58.618,371,South Asia,864972221,2.569474495,56.51472556
India,1993,59.823,302,South Asia,922118387,2.481277488,55.42877345
India,1996,61.027,401,South Asia,979678458,2.603195006,56.92991947
India,1999,62.284,441,South Asia,1038225823,2.64535151,57.44898407
India,2002,63.649,469,South Asia,1097600380,2.671311655,57.76862615
India,2005,64.939,710,South Asia,1154676322,2.851556796,59.98794852
India,2008,66.247,992,South Asia,1207930964,2.996739085,61.77554901
India,2011,67.623,1445,South Asia,1261224954,3.160006461,63.78582755
India,2014,68.932,1553,South Asia,1312277191,3.191418584,64.17259874
India,2017,70.068,1950,South Asia,1359657400,3.290057925,65.38712522
India,2020,70.156,1907,South Asia,1402617695,3.280360375,65.26772123
India,2023,72.003,2480,South Asia,1438069596,3.394590368,66.67421228
China,1960,33.419,89,East Asia & Pacific,667070000,1.951921113,48.91091428
China,1963,51.67,74,East Asia & Pacific,682335000,1.871066967,47.91537335
China,1966,53.662,104,East Asia & Pacific,735400000,2.018385,49.72927083
China,1969,55.988,100,East Asia & Pacific,796025000,2.000562209,49.50982237
China,1972,58.579,131,East Asia & Pacific,862030000,2.120197243,50.98286461
China,1975,60.952,178,East Asia & Pacific,916395000,2.251247823,52.5964642
China,1978,63.102,156,East Asia & Pacific,956165000,2.19422672,51.89437476
China,1981,64.778,197,East Asia & Pacific,993885000,2.294623766,53.13054351
China,1984,66.148,250,East Asia & Pacific,1036825000,2.399178532,54.41790543
China,1987,67.263,251,East Asia & Pacific,1084035000,2.401076348,54.44127286
China,1990,68.155,317,East Asia & Pacific,1135185000,2.502269589,55.687245
China,1993,69.492,377,East Asia & Pacific,1178440000,2.576790203,56.60480241
China,1996,70.823,709,East Asia & Pacific,1217550000,2.850900911,59.97987274
China,1999,71.952,873,East Asia & Pacific,1252735000,2.941159649,61.09121053
China,2002,73.034,1148,East Asia & Pacific,1280400000,3.060136391,62.55614736
China,2005,74.085,1753,East Asia & Pacific,1303720000,3.243884517,64.81860128
China,2008,74.833,3468,East Asia & Pacific,1324655000,3.540120045,68.46609009
China,2011,75.889,5614,East Asia & Pacific,1345035000,3.74930227,71.04170899
China,2014,76.714,7636,East Asia & Pacific,1371860000,3.882870148,72.68630356
China,2017,77.235,8817,East Asia & Pacific,1396215000,3.945323087,73.45527411
China,2023,77.953,12614,East Asia & Pacific,1410710000,4.100854952,75.37030685
China,2020,78.019,10408,East Asia & Pacific,1411100000,4.017397307,74.34270956
United States,1960,69.77073171,2999,North America,180671000,3.477101692,67.69015771
United States,1963,69.91707317,3366,North America,189242000,3.527161821,68.30653807
United States,1966,70.21219512,4136,North America,196560000,3.616612901,69.40793133
United States,1969,70.50731707,5019,North America,202677000,3.70070356,70.44332279
United States,1972,71.15609756,6094,North America,209896000,3.784903732,71.48006267
United States,1975,72.60487805,7801,North America,215973000,3.8921757,72.80088096
United States,1978,73.35609756,10564,North America,222585000,4.023867373,74.42237419
United States,1981,74.0097561,13976,North America,229466000,4.145386167,75.9186108
United States,1984,74.56341463,17121,North America,235825000,4.233534847,77.00396786
United States,1987,74.76585366,20038,North America,242289000,4.301874769,77.84542366
United States,1990,75.21463415,23888,North America,249623000,4.378190699,78.78508644
